Johnson,"57,009"
Jones,"48,104"
Keokuk,"48,468"
Kossuth,"52,736"
Lee,"45,316"
Linn,"56,373"
Louisa,"45,420"
Lucas,"44,451"
Lyon,"56,596"
Madison,"53,555"
Mahaska,"45,828"
Marion,"53,316"
Marshall,"47,059"
Mills,"61,481"
Mitchell,"58,720"
Monona,"49,494"
Monroe,"49,319"
Montgomery,"44,375"
Muscatine,"50,326"
O'Brien,"55,875"
Osceola,"48,976"
Page,"47,231"
Palo Alto,"49,216"
Plymouth,"56,761"
Pocahontas,"49,941"
Polk,"57,947"
Pottawattamie,"47,935"
Poweshiek,"49,442"
Ringgold,"51,565"
Sac,"56,444"
Scott,"57,360"
Shelby,"54,408"
Sioux,"54,716"
Story,"45,618"
Tama,"51,211"
Taylor,"46,861"
Union,"43,838"
Van Buren,"42,312"
Wapello,"42,551"
Warren,"54,617"
Washington,"59,627"
Wayne,"45,248"
Webster,"47,734"
Winnebago,"44,867"
Winneshiek,"54,556"
Woodbury,"46,975"
Worth,"45,956"
Wright,"48,666"
,
,
Allen,"45,635"
Anderson,"45,567"
Atchison,"42,396"
Barber,"51,763"
Barton,"51,237"
Bourbon,"45,653"
Brown,"48,769"
Butler,"49,703"
Chase,"63,086"
Chautauqua,"42,504"
Cherokee,"48,048"
Cheyenne,"56,260"
Clark,"58,136"
Clay,"47,886"
Cloud,"44,057"
Coffey,"56,637"
Comanche,"48,194"
Cowley,"42,623"
Crawford,"42,668"
Decatur,"54,249"
Dickinson,"46,708"
Doniphan,"46,313"
Douglas,"49,290"
Edwards,"61,594"
Elk,"42,831"
Ellis,"50,491"
Ellsworth,"45,169"
Finney,"44,599"
Ford,"43,865"
Franklin,"46,307"
Geary,"48,695"
Gove,"63,850"
Graham,"55,636"
Grant,"43,389"
Gray,"64,323"
Greeley,"83,743"
Greenwood,"46,373"
Hamilton,"72,299"
Harper,"57,680"
Harvey,"47,580"
Haskell,"62,329"
Hodgeman,"65,216"
Jackson,"47,644"
Jefferson,"49,792"
Jewell,"56,799"
Johnson,"81,020"
Kearny,"60,667"
Kingman,"48,832"
Kiowa,"51,912"
Labette,"46,796"
Lane,"69,724"
Leavenworth,"46,742"
Lincoln,"54,756"
Linn,"45,515"
Logan,"58,592"
Lyon,"44,157"
McPherson,"55,947"
Marion,"46,843"
Marshall,"48,437"
Meade,"67,486"
Miami,"53,526"
Mitchell,"70,316"
Montgomery,"40,841"
Morris,"51,167"
Morton,"49,035"
Nemaha,"57,969"
Neosho,"44,751"
Ness,"60,791"
Norton,"48,656"
Osage,"47,130"
Osborne,"51,497"
Ottawa,"46,244"
Pawnee,"45,468"
Phillips,"59,484"
Pottawatomie,"57,035"
Pratt,"53,421"
Rawlins,"69,786"
Reno,"45,089"
Republic,"47,678"
Rice,"46,852"
Riley,"46,108"
Rooks,"45,289"
Rush,"59,414"
Russell,"49,781"
Saline,"53,147"
Scott,"58,451"
Sedgwick,"55,122"
Seward,"41,839"
Shawnee,"51,008"
Sheridan,"56,134"
Sherman,"48,809"
Smith,"56,231"
Stafford,"49,991"
Stanton,"85,360"
Stevens,"50,989"
Sumner,"45,362"
Thomas,"50,599"
Trego,"56,758"
Wabaunsee,"55,142"
Wallace,"59,431"
Washington,"52,942"
Wichita,"58,891"
Wilson,"45,110"
Woodson,"42,420"
Wyandotte,"36,422"
,
,
Adair,"37,409"
Allen,"37,077"
Anderson,"42,309"
Ballard,"45,690"
Barren,"40,241"
Bath,"34,299"
Bell,"37,095"
Boone,"53,445"
Bourbon,"51,145"
Boyd,"42,757"
Boyle,"43,226"
Bracken,"41,421"
Breathitt,"35,222"
Breckinridge,"39,121"
Bullitt,"46,834"
Butler,"39,306"
Caldwell,"40,176"
Calloway,"42,036"
Campbell,"55,115"
Carlisle,"46,005"
Carroll,"41,578"
Carter,"36,134"
Casey,"36,825"
Christian,"41,809"
Clark,"44,012"
Clay,"34,389"
Clinton,"39,474"
Crittenden,"39,704"
Cumberland,"46,156"
Daviess,"46,394"
Edmonson,"37,853"
Elliott,"27,154"
Estill,"36,458"
Fayette,"56,482"
Fleming,"38,609"
Floyd,"39,909"
Franklin,"46,755"
Fulton,"35,844"
Gallatin,"38,764"
Garrard,"40,329"
Grant,"41,934"
Graves,"42,632"
Grayson,"39,577"
Green,"39,385"
Greenup,"44,283"
Hancock,"42,781"
Hardin,"48,193"
Harlan,"34,304"
Harrison,"41,120"
Hart,"36,774"
Henderson,"45,247"
Henry,"44,800"
Hickman,"42,155"
Hopkins,"42,536"
Jackson,"34,343"
Jefferson,"57,290"
Jessamine,"51,543"
Johnson,"37,208"
Kenton,"63,533"
Knott,"36,448"
Knox,"35,312"
Larue,"41,291"
Laurel,"37,362"
Lawrence,"34,590"
Lee,"32,876"
Leslie,"35,932"
Letcher,"35,818"
Lewis,"36,513"
Lincoln,"37,441"
Livingston,"44,169"
Logan,"40,765"
Lyon,"39,460"
McCracken,"52,296"
McCreary,"31,370"
McLean,"41,707"
Madison,"40,275"
Magoffin,"39,470"
Marion,"40,610"
Marshall,"46,261"
Martin,"32,984"
Mason,"44,145"
Meade,"43,040"
Menifee,"37,592"
Mercer,"39,945"
Metcalfe,"34,628"
Monroe,"39,461"
Montgomery,"39,770"
Morgan,"30,732"
Muhlenberg,"37,023"
Nelson,"47,852"
Nicholas,"37,934"
Ohio,"36,448"
Oldham,"68,532"
Owen,"36,536"
Owsley,"39,487"
Pendleton,"46,909"
Perry,"39,558"
Pike,"39,062"
Powell,"34,947"
Pulaski,"42,524"
Robertson,"38,772"
Rockcastle,"37,428"
Rowan,"34,847"
Russell,"41,673"
Scott,"49,207"
Shelby,"51,798"
Simpson,"40,876"
Spencer,"50,240"
Taylor,"39,022"
Todd,"41,776"
Trigg,"43,726"
Trimble,"43,854"
Union,"43,417"
Warren,"41,516"
Washington,"42,401"
Wayne,"34,737"
Webster,"41,820"
Whitley,"38,398"
Wolfe,"39,286"
Woodford,"56,003"
,
,
Acadia,"43,800"
Allen,"41,335"
Ascension,"55,067"
Assumption,"52,452"
Avoyelles,"42,588"
Beauregard,"47,500"
Bienville,"42,743"
Bossier,"48,685"
Caddo,"53,120"
Calcasieu,"47,033"
Caldwell,"39,210"
Cameron,"58,059"
Catahoula,"40,839"
Claiborne,"40,076"
Concordia,"39,748"
De Soto,"47,201"
East Baton Rouge,"55,983"
East Carroll,"36,557"
East Feliciana,"44,155"
Evangeline,"39,226"
Franklin,"37,627"
Grant,"35,264"
Iberia,"43,961"
Iberville,"49,075"
Jackson,"39,074"
Jefferson,"54,927"
Jefferson Davis,"45,304"
Lafayette,"54,881"
Lafourche,"47,063"
LaSalle,"36,200"
Lincoln,"42,437"
Livingston,"45,974"
Madison,"41,229"
Morehouse,"41,664"
Natchitoches,"43,373"
Orleans,"58,233"
Ouachita,"43,726"
Plaquemines,"51,841"
Pointe Coupee,"54,571"
Rapides,"50,556"
Red River,"50,003"
Richland,"42,971"
Sabine,"41,254"
St. Bernard,"39,448"
St. Charles,"53,773"
St. Helena,"46,176"
St. James,"57,847"
St. John the Baptist,"45,407"
St. Landry,"45,734"
St. Martin,"43,012"
St. Mary,"45,507"
St. Tammany,"66,999"
Tangipahoa,"44,234"
Tensas,"46,399"
Terrebonne,"46,751"
Union,"45,030"
Vermilion,"43,670"
Vernon,"44,514"
Washington,"38,878"
Webster,"46,378"
West Baton Rouge,"51,864"
West Carroll,"41,431"
West Feliciana,"42,753"
Winn,"43,630"
,
,
Androscoggin,"46,144"
Aroostook,"47,070"
Cumberland,"69,624"
Franklin,"44,219"
Hancock,"56,977"
Kennebec,"50,530"
Knox,"56,532"
Lincoln,"55,972"
Oxford,"42,694"
Penobscot,"47,574"
Piscataquis,"45,711"
Sagadahoc,"56,312"
Somerset,"43,610"
Waldo,"48,538"
Washington,"46,891"
York,"58,085"
,
,
Allegany,"45,070"
Anne Arundel,"72,003"
Baltimore,"65,502"
Calvert,"66,872"
Caroline,"48,287"
Carroll,"65,635"
Cecil,"51,681"
Charles,"60,334"
Dorchester,"49,363"
Frederick,"65,338"
Garrett,"49,772"
Harford,"62,868"
Howard,"82,041"
Kent,"63,494"
Montgomery,"87,507"
Prince George's,"51,300"
Queen Anne's,"71,470"
St. Mary's,"61,874"
Somerset,"33,037"
Talbot,"80,052"
Washington,"49,510"
Wicomico,"43,648"
Worcester,"60,440"
Baltimore City,"54,153"
,
,
Barnstable,"79,136"
Berkshire,"61,586"
Bristol,"61,116"
Dukes,"81,631"
Essex,"73,101"
Franklin,"60,297"
Hampden,"58,071"
Hampshire,"58,133"
Middlesex,"92,013"
Nantucket,"93,793"
Norfolk,"97,787"
Plymouth,"75,025"
Suffolk,"90,941"
Worcester,"61,577"
,
,
Alcona,"46,504"
Alger,"39,479"
Allegan,"50,402"
Alpena,"45,497"
Antrim,"53,579"
Arenac,"44,841"
Baraga,"39,616"
Barry,"49,975"
Bay,"47,430"
Benzie,"52,273"
Berrien,"54,303"
Branch,"41,384"
Calhoun,"44,796"
Cass,"51,045"
Charlevoix,"59,153"
Cheboygan,"45,719"
Chippewa,"40,410"
Clare,"38,991"
Clinton,"51,861"
Crawford,"42,782"
Delta,"44,204"
Dickinson,"50,975"
Eaton,"47,981"
Emmet,"63,571"
Genesee,"46,371"
Gladwin,"41,637"
Gogebic,"46,469"
Grand Traverse,"57,453"
Gratiot,"40,793"
Hillsdale,"39,486"
Houghton,"40,803"
Huron,"52,150"
Ingham,"46,669"
Ionia,"38,396"
Iosco,"44,079"
Iron,"47,339"
Isabella,"43,582"
Jackson,"44,152"
Kalamazoo,"54,954"
Kalkaska,"41,541"
Kent,"58,706"
Keweenaw,"56,579"
Lake,"37,938"
Lapeer,"49,285"
Leelanau,"75,114"
Lenawee,"44,112"
Livingston,"62,640"
Luce,"41,624"
Mackinac,"50,473"
Macomb,"51,798"
Manistee,"44,375"
Marquette,"44,933"
Mason,"46,365"
Mecosta,"41,440"
Menominee,"45,802"
