CTYNAME,MEDIAN_AGE_TOT
Sherman,39.8
Smith,49.7
Stafford,41.6
Stanton,37.8
Stevens,36.8
Sumner,41.0
Thomas,35.5
Trego,49.3
Wabaunsee,43.8
Wallace,40.8
Washington,43.1
Wichita,40.1
Wilson,42.6
Woodson,46.8
Wyandotte,34.7
Adair,41.7
Allen,40.9
Anderson,41.1
Ballard,44.7
Barren,40.7
Bath,39.6
Bell,41.7
Boone,38.2
Bourbon,42.8
Boyd,42.3
Boyle,39.9
Bracken,41.5
Breathitt,43.0
Breckinridge,42.7
Bullitt,41.6
Butler,41.6
Caldwell,42.4
Calloway,35.4
Campbell,39.5
Carlisle,42.3
Carroll,37.7
Carter,41.9
Casey,42.1
Christian,28.4
Clark,41.1
Clay,40.1
Clinton,43.1
Crittenden,43.2
Cumberland,44.9
Daviess,38.7
Edmonson,45.5
Elliott,43.6
Estill,43.6
Fayette,35.5
Fleming,40.9
Floyd,42.4
Franklin,40.9
Fulton,41.1
Gallatin,38.8
Garrard,43.7
Grant,36.9
Graves,40.3
Grayson,40.8
Green,44.5
Greenup,44.1
Hancock,41.0
Hardin,37.6
Harlan,41.4
Harrison,41.5
Hart,40.3
Henderson,41.3
Henry,41.4
Hickman,48.1
Hopkins,41.0
Jackson,41.8
Jefferson,38.8
Jessamine,38.7
Johnson,42.4
Kenton,38.0
Knott,43.9
Knox,39.7
Larue,41.1
Laurel,40.2
Lawrence,41.5
Lee,42.6
Leslie,43.3
Letcher,43.7
Lewis,42.9
Lincoln,40.7
Livingston,46.3
Logan,40.1
Lyon,47.0
McCracken,42.2
McCreary,39.8
McLean,42.0
Madison,34.8
Magoffin,42.9
Marion,40.4
Marshall,45.2
Martin,39.7
Mason,41.5
Meade,40.0
Menifee,47.1
Mercer,42.6
Metcalfe,42.1
Monroe,41.9
Montgomery,39.9
Morgan,41.7
Muhlenberg,42.6
Nelson,40.3
Nicholas,40.1
Ohio,41.0
Oldham,40.2
Owen,43.7
Owsley,41.7
Pendleton,41.6
Perry,41.2
Pike,43.6
Powell,39.7
Pulaski,42.6
Robertson,45.9
Rockcastle,43.4
Rowan,31.9
Russell,43.4
Scott,36.7
Shelby,40.9
Simpson,39.4
Spencer,42.2
Taylor,37.7
Todd,37.6
Trigg,46.0
Trimble,42.5
Union,43.9
Warren,33.3
Washington,42.3
Wayne,44.5
Webster,41.2
Whitley,35.4
Wolfe,43.3
Woodford,43.4
Acadia Parish,37.5
Allen Parish,37.5
Ascension Parish,36.8
Assumption Parish,43.0
Avoyelles Parish,39.0
Beauregard Parish,37.3
Bienville Parish,42.6
Bossier Parish,37.0
Caddo Parish,39.5
Calcasieu Parish,37.5
Caldwell Parish,39.4
Cameron Parish,41.4
Catahoula Parish,40.9
Claiborne Parish,42.6
Concordia Parish,39.1
De Soto Parish,40.6
East Baton Rouge Parish,34.3
East Carroll Parish,36.8
East Feliciana Parish,43.8
Evangeline Parish,36.7
Franklin Parish,39.6
Grant Parish,37.7
Iberia Parish,37.9
Iberville Parish,40.1
Jackson Parish,42.4
Jefferson Parish,40.4
Jefferson Davis Parish,38.1
Lafayette Parish,36.9
Lafourche Parish,39.3
LaSalle Parish,37.6
Lincoln Parish,28.2
Livingston Parish,36.7
Madison Parish,37.4
Morehouse Parish,40.9
Natchitoches Parish,33.7
Orleans Parish,38.9
Ouachita Parish,37.0
Plaquemines Parish,38.1
Pointe Coupee Parish,43.7
Rapides Parish,38.3
Red River Parish,41.3
Richland Parish,39.3
Sabine Parish,41.8
St. Bernard Parish,36.4
St. Charles Parish,39.3
St. Helena Parish,42.0
St. James Parish,41.3
St. John the Baptist Parish,39.0
St. Landry Parish,37.3
St. Martin Parish,39.3
St. Mary Parish,40.7
St. Tammany Parish,40.8
Tangipahoa Parish,36.1
Tensas Parish,48.7
Terrebonne Parish,38.5
Union Parish,44.1
Vermilion Parish,38.7
